pebble_id,intact_internal_bonds,initial_internal_bonds,final_broken_internal_bonds,initial_x,initial_y,initial_z
38,5876,5876,0,-0.00349025,0.00395494,0.000499725
39,5876,5876,0,-0.00241022,0.00416797,0.000499726
40,5876,5876,0,-0.00415631,-0.00122482,0.000499742
41,5876,5876,0,0.0022854,0.00205261,0.000499747
42,5876,5876,0,-0.000686527,0.00106404,0.000499748
43,5876,5876,0,-0.00219362,0.00281859,0.000499748
44,5876,5876,0,0.00500003,-0.00499237,0.000499761
45,5876,5876,0,0.00175118,-0.00306365,0.000499767
46,5876,5876,0,-0.000651086,-0.000829439,0.000499769
47,5876,5876,0,0.00289253,0.00124228,0.000499771
48,5876,5876,0,0.000670126,0.0041581,0.000499776
49,5876,5876,0,-0.00500012,0.000627625,0.000499777
50,5876,5876,0,0.00150889,-0.00415045,0.000499781
51,5876,5876,0,0.000361374,-0.00402051,0.000499784
52,5876,5876,0,-0.00120303,0.00268172,0.000499786
53,5876,5876,0,-0.00206069,-0.00196483,0.0004998
54,5876,5876,0,0.00181721,0.00420638,0.000499811
55,5876,5876,0,0.00466026,0.000314107,0.000499826
56,5876,5876,0,-0.000347582,0.000123266,0.000499828
57,5876,5876,0,-0.00318306,0.00296251,0.000499829
58,5876,5876,0,0.00296168,0.000244876,0.000499833
59,5876,5876,0,0.00303688,-0.00308052,0.000499845
60,5876,5876,0,0.00347645,-0.00403292,0.000499861
61,5876,5876,0,-0.00401525,-0.000216575,0.000499861
62,5876,5876,0,0.00500035,0.00225462,0.000499862
63,5876,5876,0,0.00279777,0.00401113,0.000499877
64,5876,5876,0,0.00464366,0.00500002,0.000499884
65,5876,5876,0,-0.0041891,-0.0025816,0.000499897
66,5876,5876,0,0.00252551,0.00497635,0.000499906
67,5876,5876,0,-0.00142701,-0.00496931,0.000499907
68,5876,5876,0,-0.00500013,-0.000388926,0.000499912
69,5876,5876,0,-0.00212286,-0.00398872,0.000499917
70,5876,5876,0,0.00500026,-0.00329673,0.000499917
71,5876,5876,0,0.005,0.00329346,0.00049992
72,5876,5876,0,0.00227516,-0.00500002,0.000499921
73,5876,5876,0,0.00394796,-0.00499829,0.000499925
74,5876,5876,0,-0.00500002,0.00162758,0.000499926
75,5876,5876,0,-0.00248745,-0.00499056,0.000499939
76,5876,5876,0,-0.00482697,-0.00470929,0.000499939
77,5876,5876,0,-9.84751e-06,-0.00309195,0.000499939
78,5876,5876,0,-0.00229707,-0.00300141,0.000499939
79,5876,5876,0,0.000688722,-0.00237585,0.000499939
80,5876,5876,0,-0.000280521,-0.00212915,0.000499939
81,5876,5876,0,-0.00296794,-0.00152847,0.000499939
82,5876,5876,0,0.00153248,-0.000927267,0.000499939
83,5876,5876,0,0.0049947,-0.000858712,0.000499939
84,5876,5876,0,-0.00270672,-0.00048612,0.000499939
85,5876,5876,0,0.000749295,-0.000302255,0.000499939
86,5876,5876,0,-0.000408715,0.00202512,0.000499939
87,5876,5876,0,-0.000234694,0.00301099,0.000499939
88,5876,5876,0,-0.000138894,0.00493362,0.000499939
89,5876,5876,0,0.00364248,0.00499995,0.000499939
90,5876,5876,0,0.00124169,0.00333767,0.00049995
91,5876,5876,0,0.00499929,0.00125475,0.000499969
92,5876,5876,0,0.00414148,0.00276601,0.00050027
93,5876,5876,0,0.00120936,0.00500018,0.000501388
94,5876,5876,0,0.000277313,0.00129732,0.000627764
95,5876,5876,0,-0.000436234,-0.0050003,0.000631535
96,5876,5876,0,0.00401674,-0.00320524,0.000654228
97,5876,5876,0,-0.00281056,0.00205057,0.000670691
98,5876,5876,0,0.00500053,-0.00224285,0.000708957
99,5876,5876,0,0.00245486,-0.000588824,0.000718808
100,5876,5876,0,-0.00113546,-0.00166983,0.00074185
101,5876,5876,0,-0.000264028,0.00398499,0.000810998
102,5876,5876,0,0.00196663,0.00118099,0.00087143
103,5876,5876,0,0.00234226,-0.00241751,0.000981932
104,5876,5876,0,0.00153015,0.00248956,0.00098876
105,5876,5876,0,0.00311136,-0.00480904,0.00101393
106,5876,5876,0,0.00421635,0.00191054,0.0010164
107,5876,5876,0,0.0014205,-0.00500025,0.00101908
