timestep,pebble_id,pebble_z_mm,rank_from_top,reference_step,initial_internal_bonds,intact_internal_bonds,broken_internal_bonds,delta_broken_since_previous_dump,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N,side_force_z_N,all_wall_force_z_N
90000,54,2.24526,19,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,55,0.496879,90,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,56,2.16156,22,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,57,0.495933,96,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,58,1.96743,31,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,59,2.47089,13,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,60,1.21197,64,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,61,2.12978,24,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,62,1.90179,35,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,63,2.83219,4,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,64,1.93161,34,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,65,1.19828,67,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,66,1.89091,38,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,67,1.65356,41,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,68,1.1558,68,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,69,1.83369,39,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,70,2.7466,7,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,71,0.496753,92,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,72,2.02312,29,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,73,0.906328,72,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,74,1.57072,44,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,75,2.26408,17,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,76,2.5461,12,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,77,1.44537,47,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,78,2.96658,2,20000,4935,4931,4,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,79,2.73672,8,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,80,1.3258,59,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,81,2.79717,6,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,82,2.09226,27,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,83,1.43711,50,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,84,2.02203,30,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,85,1.41538,55,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,86,2.96832,1,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,87,2.12943,25,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,88,1.33208,58,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,89,1.96457,32,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,90,2.68422,10,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,91,1.50146,45,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,92,2.56737,11,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,93,1.89797,36,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,94,2.11078,26,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,95,2.82837,5,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,96,2.42114,14,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,97,2.86379,3,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,98,2.27691,16,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,99,2.70676,9,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
90000,100,2.37298,15,20000,4935,4935,0,0,4e-05,0.04,0.18753749,-0.20831128,-0.047664438,-0.068438231
100000,1,0.495167,98,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,2,0.497921,78,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,3,0.497186,85,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,4,0.495532,97,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,5,0.497462,83,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,6,0.494001,100,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,7,1.46762,46,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,8,0.497731,80,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,9,2.19007,20,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,10,0.497189,84,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,11,2.24635,18,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,12,0.494971,99,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,13,0.498614,76,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,14,0.498352,77,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,15,0.496528,95,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,16,0.497748,79,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,17,0.497555,82,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,18,0.496646,94,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,19,0.499849,74,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,20,0.496893,89,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
100000,21,1.20503,66,20000,4935,4935,0,0,4.5e-05,0.045000000000000005,0.10222786,-0.13664955,-0.033412147,-0.067833836
