id,atom1,atom2,length_mm
505,19,250,0.20027285221808644
506,20,21,0.12775420330672402
507,20,30,0.1738863606510687
508,20,76,0.208325025845276
509,20,85,0.2424251674369413
510,20,92,0.16706764519886164
511,20,105,0.23552985962191592
512,20,113,0.22403690271855312
513,20,122,0.1196555520928407
514,20,124,0.11374838045122616
515,20,134,0.13937784001549577
516,20,176,0.21180016379417002
517,20,185,0.22422417858419486
518,20,200,0.18093593476258046
519,20,206,0.21386947813108353
520,20,207,0.20423956036228977
521,20,211,0.21828141557893616
522,20,217,0.13119461213275135
523,20,228,0.24848216159069977
524,20,241,0.13962210027920263
525,21,30,0.13961934498561668
526,21,66,0.23984150178970215
527,21,76,0.1301413740492863
528,21,85,0.17431136554188834
529,21,86,0.19141408598647505
530,21,92,0.2160164503509386
531,21,99,0.21694275020983755
532,21,100,0.23191323751042986
533,21,101,0.15321391643994908
534,21,105,0.1572910665237407
535,21,113,0.19233645250419104
536,21,122,0.11517329233808109
537,21,124,0.11160540620555973
538,21,130,0.22842589043493094
539,21,131,0.2417705733082609
540,21,134,0.16923210554076482
541,21,168,0.24045855654938134
542,21,176,0.21722510661766262
543,21,178,0.1766484927529064
544,21,185,0.23260736296573611
545,21,205,0.204923055147578
546,21,211,0.20040892760905946
547,21,217,0.1822949161341789
548,21,232,0.15757224412302046
549,21,241,0.11062036035540294
550,22,27,0.18046896461573467
551,22,28,0.1975719363794974
552,22,29,0.1555521906452126
553,22,42,0.13810246576481341
554,22,43,0.17195402790937445
555,22,55,0.21649507496272857
556,22,65,0.22433364273052428
557,22,80,0.23725282656068494
558,22,84,0.24011811182808274
559,22,94,0.13537770510251415
560,22,103,0.22495610036351033
561,22,107,0.12716620898313774
562,22,108,0.20725833686821601
563,22,109,0.12901563486658935
564,22,114,0.10926351531144414
565,22,115,0.24401974735610174
566,22,121,0.2049907299292317
567,22,123,0.23006741934367342
568,22,127,0.23895142081273008
569,22,144,0.24497821656368612
570,22,149,0.23400152714119346
571,22,153,0.1833903618808785
572,22,160,0.22650446768751878
573,22,166,0.14978619711501473
574,22,167,0.11343850408292058
575,22,174,0.2437283794651775
576,22,194,0.21216151892003043
577,22,196,0.21397688972347612
578,22,197,0.22231512895543723
579,22,218,0.17461786934719598
580,22,226,0.2448165309569405
581,22,227,0.11101615613831732
582,22,234,0.16925944457800188
583,22,242,0.18386726571929576
584,22,244,0.22186027719216753
585,22,247,0.22764890829900603
