id,atom1,atom2,length_mm
2105,89,469,0.1713753810806217
2106,90,98,0.16715246758605634
2107,90,120,0.07610135737063133
2108,90,131,0.13370137233823726
2109,90,188,0.1859082928667425
2110,90,213,0.14750770576727562
2111,90,235,0.1338021666480852
2112,90,240,0.15707424425452435
2113,90,270,0.1286275101073084
2114,90,323,0.10728536762932184
2115,90,329,0.07851620718893106
2116,90,346,0.14069751613576642
2117,90,378,0.09826412087267646
2118,90,393,0.1478324502292398
2119,90,402,0.1443456517819332
2120,90,407,0.1772013927432861
2121,90,412,0.1482549101925048
2122,90,418,0.16775504855897758
2123,90,437,0.1799571905705386
2124,90,438,0.08787092875796007
2125,90,445,0.14011440341058798
2126,90,459,0.1542981453013107
2127,90,498,0.1674939448019152
2128,91,100,0.12816173334618317
2129,91,106,0.1397604720929923
2130,91,123,0.1887079905044342
2131,91,124,0.11908839157260039
2132,91,134,0.18632934836113316
2133,91,164,0.17573875832066949
2134,91,174,0.18924882834900755
2135,91,200,0.1796005726315188
2136,91,233,0.18925201913837994
2137,91,273,0.1262660558512608
2138,91,347,0.07335947776278033
2139,91,356,0.18899852130451034
2140,91,367,0.14917496778220357
2141,91,370,0.18338965673140725
2142,91,401,0.1138875875250713
2143,91,408,0.15065345343832415
2144,91,449,0.14056145507834775
2145,91,461,0.18641464463539442
2146,91,467,0.11200332054961566
2147,91,471,0.10846553369162452
2148,91,485,0.12540455893279992
2149,92,107,0.16103795484353534
2150,92,128,0.18083312836729712
2151,92,136,0.15669678375374627
2152,92,146,0.17495393363416184
2153,92,149,0.11385209242314986
2154,92,162,0.10306555170225014
2155,92,191,0.10463459176972707
2156,92,274,0.18864486154092894
2157,92,275,0.1617812598471749
2158,92,348,0.17458041794630635
2159,92,468,0.16117947006885103
2160,92,481,0.11506592682876125
2161,93,132,0.16318138071611776
2162,93,178,0.18514848091497682
2163,93,180,0.1293839028380934
2164,93,204,0.11756218209098282
2165,93,253,0.11664671045712961
2166,93,255,0.15982565063889811
2167,93,296,0.17645205176590667
2168,93,297,0.18613973024445185
2169,93,373,0.1036692605510364
2170,93,432,0.12733770394596663
2171,93,491,0.1458665580216669
2172,94,99,0.1380791835775498
2173,94,110,0.16917257380608544
2174,94,161,0.17990525657865333
2175,94,166,0.18851529411298512
2176,94,198,0.12070937685256827
2177,94,209,0.15829315490478021
2178,94,210,0.10006213991240123
2179,94,231,0.17282408011908082
2180,94,283,0.15866350677445157
2181,94,284,0.16500253281439592
2182,94,303,0.17398258698915997
2183,94,316,0.16021726414548923
2184,94,370,0.13506709183379878
2185,94,372,0.10266546887801374
2186,94,381,0.13185424477073487
2187,94,395,0.16189948045552385
2188,94,415,0.1459903791583933
2189,94,444,0.13313713585508535
2190,94,448,0.11512278922741355
2191,94,450,0.144728072854384
2192,94,453,0.12148211905526915
2193,94,482,0.14589711310373701
2194,95,105,0.129777850271708
2195,95,130,0.1896529742365349
2196,95,140,0.11103286673618759
2197,95,144,0.13829318190852122
2198,95,146,0.17558523944666585
2199,95,219,0.17278109114096085
2200,95,223,0.11822719416002934
2201,95,228,0.16033530302489665
2202,95,257,0.15154204113875494
2203,95,322,0.11491691673868516
2204,95,325,0.08580665106759067
2205,95,330,0.12348119521236721
2206,95,447,0.08840108740166641
2207,95,475,0.1014121192547981
2208,96,115,0.15868165939496237
2209,96,153,0.15339551934998438
2210,96,186,0.12468944873061656
2211,96,189,0.15135372353909696
2212,96,206,0.11892495238752224
2213,96,220,0.10724562773781711
2214,96,247,0.18698780051993363
2215,96,258,0.14610263910673385
2216,96,259,0.10032861358459402
2217,96,264,0.0902359145252986
2218,96,274,0.15231957750399716
2219,96,283,0.17903344502625718
2220,96,303,0.1590920129848369
2221,96,307,0.12439977234241718
2222,96,332,0.11545522298611523
2223,96,333,0.0846770605404397
2224,96,345,0.09318702497968932
2225,96,355,0.18276670941273573
2226,96,359,0.10323158393657875
2227,96,368,0.17850234757576652
2228,96,464,0.14154213869805585
2229,96,468,0.1706098340537803
2230,97,116,0.177607941733524
2231,97,175,0.16857113436578197
2232,97,181,0.08990455241512184
2233,97,192,0.09996691846811737
2234,97,198,0.1850303935414667
2235,97,210,0.10243834000776393
2236,97,221,0.15355521021441076
2237,97,231,0.15332241903285282
2238,97,260,0.1400933897697996
2239,97,272,0.17675163289822507
2240,97,276,0.11347970511285892
2241,97,284,0.1366279949885792
2242,97,316,0.10549095597536391
2243,97,321,0.12908906369980944
2244,97,355,0.13767860523404057
2245,97,381,0.16078665729750713
2246,97,382,0.13921149835376984
2247,97,385,0.13814378191651197
2248,97,416,0.15873646976895486
2249,97,440,0.15162165742780417
2250,97,448,0.1045196478738928
2251,97,451,0.11295105391566661
2252,97,455,0.17476496771551983
2253,97,473,0.15471017431564893
2254,97,482,0.17106266443345977
2255,97,484,0.18707017355535113
2256,97,495,0.1648996426215024
2257,98,101,0.18714525641558336
2258,98,120,0.12571907046030995
2259,98,177,0.12856526723040046
2260,98,193,0.1839112301919993
2261,98,194,0.1641686372487311
2262,98,213,0.15650190806593522
2263,98,222,0.17448980747588044
2264,98,232,0.08206099124501008
2265,98,240,0.1244869540392092
2266,98,261,0.13699827780670557
2267,98,263,0.12599990046340884
2268,98,280,0.12133019515737593
2269,98,285,0.10530235924868235
2270,98,313,0.09063268958285793
2271,98,378,0.17388406264626657
